Date,Coin,Price_USD,Volume_24h,Market_Cap,Sentiment_Score,Social_Mentions,Volatility_Index
2024-02-28,Bitcoin,33957.2497,82987972733.84,12797283178050.87,0.21,41597,0.0703
2024-02-29,Bitcoin,34328.6708,46904234198.6,4288224933803.23,-0.26,11751,0.0521
2024-03-01,Bitcoin,35367.6745,165140666334.26,10743597856469.22,0.23,47218,0.0796
2024-03-02,Bitcoin,34894.6238,53991562459.82,17401207096295.13,0.25,8352,0.0211
2024-03-03,Bitcoin,34735.1634,166761762634.36,14782872485059.21,0.11,14516,0.0664
2024-03-04,Bitcoin,33617.0368,93590606798.94,11634445486584.54,-0.14,24299,0.0351
2024-03-05,Bitcoin,32444.2662,56470274298.29,7218896218467.01,0.62,32957,0.0868
2024-03-06,Bitcoin,33267.5646,105378463650.5,11628954470107.65,0.77,29927,0.0936
2024-03-07,Bitcoin,34654.3962,155660039778.3,10771161111922.47,0.52,42094,0.0997
2024-03-08,Bitcoin,34614.1866,135995662046.93,9360830565716.61,0.23,37412,0.0816
2024-03-09,Bitcoin,35690.895,150838452156.72,5435157639832.37,0.46,30493,0.0778
2024-03-10,Bitcoin,36113.7993,131278480612.46,16418838625375.57,-0.18,27711,0.0294
2024-03-11,Bitcoin,35450.9814,133618515784.79,9923221022941.66,-0.08,9003,0.0402
2024-03-12,Bitcoin,35870.7872,157716053368.81,6379583807799.61,-0.39,32707,0.0519
2024-03-13,Bitcoin,37561.7755,75073670274.79,9281655217994.49,0.35,4278,0.0796
2024-03-14,Bitcoin,37558.9666,111088149983.11,9977610871248.16,0.21,8296,0.0923
2024-03-15,Bitcoin,39359.5175,74186305098.93,16964548665980.61,0.04,26398,0.027
2024-03-16,Bitcoin,36305.5199,179736722103.39,14284252597109.84,0.37,36842,0.093
2024-03-17,Bitcoin,37237.0134,177852814425.17,15182347984400.93,0.81,14261,0.0726
2024-03-18,Bitcoin,37371.4916,43265246572.78,3902051079964.08,0.46,12173,0.065
2024-03-19,Bitcoin,37073.6325,141706571271.83,9878699419592.11,0.15,31449,0.028
2024-03-20,Bitcoin,37212.7633,174936950006.99,10886134733965.37,0.65,42080,0.015
2024-03-21,Bitcoin,35031.0882,60334091488.6,3772039351919.77,-0.62,2637,0.0612
2024-03-22,Bitcoin,34835.2589,113973335437.75,7103790043697.25,0.5,32781,0.0686
2024-03-23,Bitcoin,35243.2974,164302602796.83,14242377882440.52,-0.28,14652,0.029
2024-03-24,Bitcoin,36841.1165,41843547493.15,5704621504909.97,0.76,6103,0.0601
2024-03-25,Bitcoin,36305.148,137584932081.12,11404320219209.29,-0.21,26500,0.0871
2024-03-26,Bitcoin,35460.8788,77637907138.3,6598586871219.49,0.52,35800,0.0852
2024-03-27,Bitcoin,34962.5573,164239576900.44,3665765036860.21,0.66,36529,0.0935
2024-03-28,Bitcoin,35957.6638,175625607363.71,7064982745124.79,-0.16,48963,0.0429
2024-03-29,Bitcoin,36348.2551,173638012035.55,17823348787686.27,0.16,19452,0.0386
2024-03-30,Bitcoin,35806.9276,103727544057.81,15060925288746.38,0.7,32174,0.0774
2024-03-31,Bitcoin,36394.0904,161887123121.61,17608576700724.48,0.21,36436,0.0488
2024-04-01,Bitcoin,36536.476,159963911208.23,10783434619327.15,0.64,48406,0.0179
2024-04-02,Bitcoin,37634.7387,85671790379.09,5415431132789.95,0.42,16954,0.0355
2024-04-03,Bitcoin,36879.7259,159160427735.77,11771410886552.04,-0.11,18186,0.0477
2024-04-04,Bitcoin,36554.0829,41965203490.5,10299146992451.85,-0.17,13356,0.0363
2024-04-05,Bitcoin,36160.6424,122406649683.24,15829062035807.66,-0.29,33963,0.0399
2024-04-06,Bitcoin,34609.1538,66450798679.37,4818737427874.98,0.28,3187,0.0364
2024-04-07,Bitcoin,34951.2171,51807054713.15,10320970503600.28,0.05,12707,0.0137
2024-04-08,Bitcoin,35259.8943,46113341336.6,5642269454576.47,0.21,36098,0.0673
2024-04-09,Bitcoin,35300.5632,133618106967.43,8114553551535.81,0.15,27935,0.0638
2024-04-10,Bitcoin,35087.432,82788790787.45,13857529736506.28,0.22,22225,0.0688
2024-04-11,Bitcoin,33632.6677,131136027724.79,9767170601464.61,0.42,4606,0.0273
2024-04-12,Bitcoin,33241.8777,41932147596.2,8322280720589.81,0.72,33828,0.0366
2024-04-13,Bitcoin,32933.3453,74467607592.21,8489903931352.83,-0.02,27489,0.0658
2024-04-14,Bitcoin,32173.6284,101603197953.02,9130190686538.59,0.46,15387,0.064
2024-04-15,Bitcoin,32050.1277,133421241167.16,13268964944068.36,0.47,4927,0.0556
2024-04-16,Bitcoin,32470.6742,73871108969.7,14833703952842.61,0.31,7296,0.0415
2024-04-17,Bitcoin,34340.5167,120314249922.32,16556726394771.77,1.0,31444,0.0922
2024-04-18,Bitcoin,34554.71,157013526773.88,14331958337432.92,-0.21,47390,0.0406
2024-04-19,Bitcoin,34856.2521,120722982335.64,7883186122177.93,-0.31,47893,0.051
2024-04-20,Bitcoin,34813.2612,67253577371.18,13063811424874.58,0.6,3591,0.071
2024-04-21,Bitcoin,32844.114,36049802154.66,9033486144795.81,-0.21,45895,0.0589
2024-04-22,Bitcoin,32850.8333,147184725661.18,6631540195769.58,0.6,49516,0.0412
2024-04-23,Bitcoin,32943.0425,35745758962.62,14374651537410.06,0.68,27147,0.0492
2024-04-24,Bitcoin,35410.3863,159304482674.6,4085315370920.41,-0.04,39889,0.0815
2024-04-25,Bitcoin,35241.4494,109803494299.35,16235904774984.25,0.62,2200,0.035
2024-04-26,Bitcoin,35595.4998,169301836031.67,10130158375908.66,0.13,16721,0.0228
2024-04-27,Bitcoin,35594.0278,149321678609.69,12631629612603.49,0.16,20238,0.0382
2024-04-28,Bitcoin,34381.6831,171624300337.1,12506047341767.32,0.14,12087,0.0865
2024-04-29,Bitcoin,35594.8299,85528939585.0,16304108483193.23,0.88,31816,0.018
2024-04-30,Bitcoin,36433.3726,148238399709.51,12921746758756.2,-0.36,24408,0.0993
2024-05-01,Bitcoin,37334.4048,97357810560.11,12901778474644.58,0.24,40740,0.0587
2024-05-02,Bitcoin,36353.196,106133246034.75,4604525482607.46,0.26,1136,0.0986
2024-05-03,Bitcoin,37919.4309,133098031220.67,11655037966370.57,0.65,18413,0.0945
2024-05-04,Bitcoin,36362.6285,163439413947.92,5820478689825.46,0.2,49114,0.0508
2024-05-05,Bitcoin,37039.1812,182837764680.12,14629495293364.46,-0.23,19978,0.0279
2024-05-06,Bitcoin,39510.2008,160928748257.43,12046216462160.88,0.22,1661,0.0248
2024-05-07,Bitcoin,38375.6223,102503863375.37,14279227978137.67,-0.18,36240,0.0316
2024-05-08,Bitcoin,37762.0371,101407232185.93,4405665160772.83,0.47,28253,0.0739
2024-05-09,Bitcoin,37912.6903,149767607870.92,5077146410663.08,-0.12,27884,0.0346
2024-05-10,Bitcoin,37377.9595,73077969466.81,14447678591213.13,-0.3,33854,0.0407
2024-05-11,Bitcoin,35676.5184,51441845357.93,4596339099283.52,0.52,11704,0.0504
2024-05-12,Bitcoin,35785.5776,86547012544.75,4598543023377.62,-0.47,39987,0.0922
2024-05-13,Bitcoin,34680.9086,74527745486.26,3636064030265.91,0.64,25527,0.027
2024-05-14,Bitcoin,35208.328,76938381961.67,16991558782280.69,0.46,17322,0.0105
2024-05-15,Bitcoin,34272.3946,66297582743.37,13537710474835.43,0.44,48517,0.0154
2024-05-16,Bitcoin,35900.2659,41944892728.7,8662754393403.25,0.12,7968,0.0914
2024-05-17,Bitcoin,35092.5961,37601567236.73,7671740973046.65,-0.59,28518,0.0683
2024-05-18,Bitcoin,34788.6295,172234662555.52,8345141387541.75,0.42,47364,0.0346
2024-05-19,Bitcoin,35672.4526,96711319947.7,14620761809101.8,0.71,28886,0.0259
2024-05-20,Bitcoin,34390.8866,87260223116.95,12537137328271.81,0.28,2700,0.0365
2024-05-21,Bitcoin,34659.9539,128886127973.1,6033543333876.45,-0.28,29246,0.0203
2024-05-22,Bitcoin,36053.7791,67529288976.34,6116297719153.72,0.68,36468,0.0947
2024-05-23,Bitcoin,34351.1575,164880222651.41,4787117538787.83,0.26,24199,0.0806
2024-05-24,Bitcoin,34575.7803,143329750104.38,12589770734575.95,0.39,45589,0.0516
2024-05-25,Bitcoin,34879.9256,47354522013.65,14152497189536.28,0.54,33115,0.0878
2024-05-26,Bitcoin,35732.9032,95418397006.14,7361641670511.79,0.72,6520,0.0325
2024-05-27,Bitcoin,34442.6409,155559265696.1,3732824000792.94,0.12,45278,0.0745
2024-05-28,Bitcoin,33112.6832,158243131718.64,4399638073553.74,-0.58,37455,0.0871
2024-05-29,Bitcoin,33664.2824,96603228350.61,16399353667411.68,0.22,21929,0.0421
2024-05-30,Bitcoin,33997.88,117416627155.87,7417586433476.44,-0.35,42605,0.0782
2024-05-31,Bitcoin,34287.3646,57195979910.89,13978590288569.27,0.07,15955,0.0366
2024-06-01,Bitcoin,34678.0159,172165061353.57,12132638855383.61,0.09,45049,0.0369
2024-06-02,Bitcoin,34005.2367,65517440795.96,8595702801028.74,-0.51,14917,0.0196
2024-06-03,Bitcoin,34276.1772,163529142363.73,6247686930865.03,-0.01,5757,0.0496
2024-06-04,Bitcoin,34611.8155,124553615156.75,5141743267057.33,-0.31,14045,0.0757
2024-06-05,Bitcoin,33904.6773,116325156908.32,11731194211980.33,0.45,42680,0.0946
2024-06-06,Bitcoin,35836.3364,109327848332.34,14687648358103.3,1.0,5733,0.0643
2024-06-07,Bitcoin,36381.5859,69950120101.35,13008661740343.19,-0.33,31954,0.0877
2024-06-08,Bitcoin,35117.7221,59914771637.62,10960973397727.5,0.57,32135,0.084
2024-06-09,Bitcoin,35844.5399,67457446716.72,4185942907326.12,0.28,8081,0.0256
2024-06-10,Bitcoin,34832.2739,60808548402.08,16977093952694.45,-0.25,42458,0.0537
2024-06-11,Bitcoin,35689.5846,146981768687.13,14971269545537.33,-0.28,24501,0.0205
2024-06-12,Bitcoin,36965.768,88736364482.48,8026333396581.09,0.33,22113,0.0714
2024-06-13,Bitcoin,36092.6192,44443394036.69,17757140306656.78,0.41,35441,0.0955
2024-06-14,Bitcoin,37171.8349,181265126714.39,12666400717489.35,0.57,48086,0.0223
2024-06-15,Bitcoin,37669.3215,170835779853.14,12542718679801.22,-0.37,25690,0.076
2024-06-16,Bitcoin,38635.9842,182014474563.57,15424615848504.69,-0.28,44939,0.0669
2024-06-17,Bitcoin,40873.1541,203533237239.0,17359152078678.01,0.31,30345,0.0625
2024-06-18,Bitcoin,40613.1337,68862857713.83,14725974747827.51,-0.15,47313,0.0451
2024-06-19,Bitcoin,39735.3992,102714738399.79,6009514166847.44,-0.31,45571,0.042
2024-06-20,Bitcoin,38714.7783,156134916116.98,9109858422994.07,-0.26,27829,0.0141
2024-06-21,Bitcoin,37805.9756,143060929683.31,17815440553131.83,0.43,36062,0.0296
2024-06-22,Bitcoin,37756.3344,60998515664.88,7167898307316.09,0.7,4630,0.0114
2024-06-23,Bitcoin,38180.5102,162776210042.91,9501861762350.38,0.08,48861,0.0623
2024-06-24,Bitcoin,38535.6166,73131439896.96,10513701300257.33,0.72,32870,0.0195
2024-06-25,Bitcoin,39530.4327,74920861357.38,10900991021897.58,0.05,48221,0.0886
2024-06-26,Bitcoin,39585.3823,124610733419.37,13663917294274.49,0.13,45942,0.0571
2024-06-27,Bitcoin,41351.1287,139426070924.0,19734013005605.99,0.02,4453,0.073
2024-06-28,Bitcoin,41064.1641,136347184904.78,8059954409545.52,0.3,38275,0.047
2024-06-29,Bitcoin,44456.2724,60724927480.13,6606226555188.33,1.0,44370,0.0605
2024-06-30,Bitcoin,45335.1738,204454536778.35,8114460976752.1,0.38,39396,0.0948
2024-07-01,Bitcoin,44214.7274,91188461321.65,20107529814744.39,-0.16,9328,0.0174
2024-07-02,Bitcoin,42838.4655,65031347495.44,15350064248078.62,0.19,16534,0.0329
2024-07-03,Bitcoin,43501.3553,198148339434.97,9325068665923.6,-0.26,20744,0.0802
2024-07-04,Bitcoin,43253.2287,208593279791.63,18442258680040.1,0.63,20389,0.0189
2024-07-05,Bitcoin,44222.9667,196726330323.54,19659231334786.38,0.27,37320,0.0168
2024-07-06,Bitcoin,44895.0288,190268018818.06,19691217132535.96,0.16,36010,0.0425
2024-07-07,Bitcoin,44841.8342,162370843080.65,20966723906509.45,0.26,15665,0.0183
2024-07-08,Bitcoin,43747.5225,140142103326.78,8788720130096.14,0.19,38865,0.0627
2024-07-09,Bitcoin,41803.1456,56348426387.96,16805565641114.75,-0.63,9640,0.0304
2024-07-10,Bitcoin,41284.9769,108736902712.52,11733842686892.22,0.33,35716,0.0906
2024-07-11,Bitcoin,42386.954,105575478081.58,18514596967183.12,-0.05,26521,0.0805
2024-07-12,Bitcoin,42701.5844,87069176869.51,16713240891804.68,0.47,31049,0.073
2024-07-13,Bitcoin,41148.4354,160218858624.05,16894682573650.41,0.39,6618,0.0655
2024-07-14,Bitcoin,41403.3676,123527068824.74,15007260650162.36,0.58,38004,0.0877
2024-07-15,Bitcoin,41923.374,55514297323.6,7167702469561.2,0.28,2920,0.0301
2024-07-16,Bitcoin,40853.6688,76834835283.73,12991906581574.65,0.05,44937,0.0886
2024-07-17,Bitcoin,41082.9295,153364016097.15,20289539962591.31,-0.29,5188,0.0811
2024-07-18,Bitcoin,41195.754,53740826642.37,19566138677757.66,0.52,13207,0.0773
2024-07-19,Bitcoin,39824.3841,175419548303.07,4670185380397.82,-0.31,1238,0.0605
2024-07-20,Bitcoin,40291.6683,120092786753.63,6685432381637.54,0.2,33972,0.0322
2024-07-21,Bitcoin,41009.8083,119844861855.93,6261849524870.36,-0.04,11799,0.0481
2024-07-22,Bitcoin,42383.2898,142816053060.07,16546095744634.86,-0.16,6552,0.0814
2024-07-23,Bitcoin,43765.581,188136147540.54,18692898146442.25,0.48,29916,0.0129
2024-07-24,Bitcoin,42000.5116,100433170262.84,7787085805318.94,-0.63,5927,0.0804
2024-07-25,Bitcoin,40860.8382,151678071273.96,12353909823446.53,0.34,28964,0.0316
2024-07-26,Bitcoin,41533.0422,135519320266.22,18120085946410.76,-0.0,12164,0.023
2024-07-27,Bitcoin,42214.748,87304872592.64,16595487829234.54,-0.42,38158,0.0204
2024-07-28,Bitcoin,42909.241,193714624446.82,13597718879530.14,0.25,20071,0.0125
2024-07-29,Bitcoin,47911.6838,200735777359.65,16104989127330.75,0.14,49409,0.0571
2024-07-30,Bitcoin,48780.1652,177257722435.73,14797181116601.17,-0.05,7160,0.0296
2024-07-31,Bitcoin,50490.7378,222276734019.39,11058450114076.26,0.59,16810,0.099
2024-08-01,Bitcoin,51986.2761,232335859348.69,16947983345506.52,-0.27,6126,0.0617
2024-08-02,Bitcoin,53054.1646,203380588294.04,19924710126646.62,0.69,31009,0.0224
2024-08-03,Bitcoin,52605.4283,228731206962.9,23637153257422.23,-0.54,34584,0.072
2024-08-04,Bitcoin,53855.8108,204107375066.63,19092775785166.05,-0.06,47182,0.0908
2024-08-05,Bitcoin,52661.0327,195928694548.94,21298681747738.01,0.35,26396,0.0771
2024-08-06,Bitcoin,52339.5604,181850950789.38,8585187643002.47,-0.12,1192,0.0169
2024-08-07,Bitcoin,51629.7885,207080192191.89,14695024770251.1,-0.44,37413,0.0906
2024-08-08,Bitcoin,51808.2326,84676433420.98,5374205156955.39,-0.01,13816,0.0815
2024-08-09,Bitcoin,55457.592,250861476510.12,11017845522288.18,0.2,40082,0.0242
2024-08-10,Bitcoin,52406.4286,235167251045.83,20469148469943.3,0.32,33130,0.0147
2024-08-11,Bitcoin,53537.7684,59801105484.93,26593493439179.55,0.02,41142,0.0602
2024-08-12,Bitcoin,51001.0699,219471221283.78,7123382669188.36,0.29,37468,0.024
2024-08-13,Bitcoin,50330.0001,76274081858.14,13115883590715.14,0.59,31698,0.0851
2024-08-14,Bitcoin,52024.5366,121762148996.77,21851782217788.65,0.23,11655,0.0423
2024-08-15,Bitcoin,52176.8853,207352665267.08,9476066089067.07,0.7,48897,0.0922
2024-08-16,Bitcoin,50542.0612,83042607217.54,16276261111381.76,-0.17,31075,0.0609
2024-08-17,Bitcoin,49508.0155,211491712127.55,19467963602365.26,0.65,10359,0.0264
2024-08-18,Bitcoin,50566.8896,218880638202.68,17516076276687.57,-0.28,37661,0.0226
2024-08-19,Bitcoin,49509.4855,150007351010.68,8674551692199.2,0.29,40579,0.0619
2024-08-20,Bitcoin,49880.4975,51154619383.51,12078753397914.34,0.18,43056,0.0786
2024-08-21,Bitcoin,49998.5724,107404559993.5,20675245365003.19,0.02,34272,0.0803
2024-08-22,Bitcoin,49071.1984,170164571189.84,15785743528783.19,0.23,43581,0.0348
2024-08-23,Bitcoin,52276.4468,257448154729.83,5336998921179.15,0.74,15671,0.0284
2024-08-24,Bitcoin,53322.8942,188083397703.35,21563581343108.93,-0.39,28048,0.0115
2024-08-25,Bitcoin,50136.6232,102239320198.31,5721819158872.9,-0.58,11738,0.0711
2024-08-26,Bitcoin,50467.2055,178453189976.99,20100760580299.75,0.46,26963,0.0169
2024-08-27,Bitcoin,49515.7173,156466770977.48,8961959802927.28,0.27,44954,0.0479
2024-08-28,Bitcoin,50831.4985,209394338522.46,24563274103778.97,0.89,7773,0.0642
2024-08-29,Bitcoin,49673.7795,70930310112.45,12278181042256.25,0.38,37584,0.0943
2024-08-30,Bitcoin,49552.4715,200395725170.95,11435354983181.16,0.72,30894,0.0381
2024-08-31,Bitcoin,50352.725,159369713662.86,8034040117222.95,0.49,1717,0.0325
2024-09-01,Bitcoin,51710.8717,250899495503.08,11492311319645.29,0.02,12676,0.0689
2024-09-02,Bitcoin,49900.5314,118138942328.67,22488188668678.21,-0.54,5434,0.0657
2024-09-03,Bitcoin,49449.6782,174581474380.97,24652332774343.7,0.47,38825,0.0399
2024-09-04,Bitcoin,48794.5511,230706123196.04,12068054393414.57,0.27,30100,0.0935
2024-09-05,Bitcoin,47886.9785,67522502997.77,13381740893160.99,-0.53,5994,0.086
2024-09-06,Bitcoin,50471.1335,239683069937.18,19624608840668.71,0.24,5234,0.0302
2024-09-07,Bitcoin,51134.8012,191834399915.16,23239658153336.13,0.81,4764,0.0315
2024-09-08,Bitcoin,49251.6845,62616042245.26,16608541430845.89,-0.03,44949,0.0561
2024-09-09,Bitcoin,50657.1236,111640918057.13,12999138636098.92,0.21,38405,0.0796
2024-09-10,Bitcoin,53932.8506,206707808405.37,14294833897426.84,0.42,35872,0.014
2024-09-11,Bitcoin,55657.2973,70651507078.08,21052220119064.25,-0.07,43215,0.0724
2024-09-12,Bitcoin,53176.0338,177006098090.26,5386057178272.11,-0.24,24185,0.0683
2024-09-13,Bitcoin,52456.7204,125032283678.75,18246321901023.6,-0.09,44442,0.0308
2024-09-14,Bitcoin,54502.9173,189869745605.96,13200454178768.98,-0.24,42153,0.0713
2024-09-15,Bitcoin,53400.3187,63170875390.5,22304188094890.26,0.4,12999,0.0946
2024-09-16,Bitcoin,54164.7219,242990917040.53,7431197054768.69,0.11,37487,0.0142
2024-09-17,Bitcoin,55477.6218,271505033301.59,18600587347698.15,0.69,3581,0.0388
2024-09-18,Bitcoin,53990.3825,263230726467.38,15786202366239.88,0.47,3763,0.0494
2024-09-19,Bitcoin,53947.959,215716704018.1,19255656344257.23,-0.23,28374,0.0909
2024-09-20,Bitcoin,48756.1142,74126112527.79,6140415124315.57,-0.13,39759,0.0966
2024-09-21,Bitcoin,47306.5155,190789674006.09,15705456360315.53,-0.03,11531,0.05
2024-09-22,Bitcoin,46995.3784,51617264209.93,15254410122370.36,0.61,26307,0.0775
2024-09-23,Bitcoin,45283.1725,49290470932.27,14683704367099.04,-0.4,31835,0.0578
2024-09-24,Bitcoin,47546.0786,109091666222.46,16231996666198.14,0.63,12064,0.0584
2024-09-25,Bitcoin,45553.6962,134591710075.78,16881615592145.32,0.08,12312,0.035
2024-09-26,Bitcoin,44997.8803,183664683543.08,18988907507559.66,-0.18,38548,0.0295
2024-09-27,Bitcoin,45219.3697,168812114648.11,9402386125796.37,-0.3,37945,0.0359
2024-09-28,Bitcoin,47219.7931,131441527382.57,20305444308661.71,0.57,48937,0.0601
2024-09-29,Bitcoin,45232.9795,94740777103.45,13538333582800.29,0.25,7476,0.0126
2024-09-30,Bitcoin,46856.6134,233744122124.85,6129937334263.78,0.09,25565,0.0917
2024-10-01,Bitcoin,46917.8546,126899904041.14,5790619051930.21,0.34,3382,0.0241
2024-10-02,Bitcoin,45583.264,127886039677.54,10652595815742.65,-0.13,23463,0.0298
2024-10-03,Bitcoin,46260.7728,76538230529.2,19150053587321.3,0.5,46276,0.0566
2024-10-04,Bitcoin,46583.2933,194682678487.1,17844772737238.06,-0.21,34402,0.0739
2024-10-05,Bitcoin,45791.0742,172848891287.31,19023717964950.63,0.57,27345,0.0186
2024-10-06,Bitcoin,45932.7546,86494980479.14,14097112527300.57,-0.11,45764,0.0386
2024-10-07,Bitcoin,45447.732,60423858672.37,12547191621894.72,-0.07,27946,0.0972
2024-10-08,Bitcoin,45647.9529,169901553122.13,7257157681810.87,-0.4,15162,0.0336
2024-10-09,Bitcoin,46600.3481,168602149822.71,10777593437348.37,-0.25,47773,0.0382
2024-10-10,Bitcoin,48864.2165,102274667317.08,13369628168110.79,0.41,9397,0.0853
2024-10-11,Bitcoin,47098.5342,226235654277.35,6379033568443.46,-0.33,23335,0.0145
2024-10-12,Bitcoin,50159.5151,80467477525.05,9442266940478.79,0.91,46095,0.0518
2024-10-13,Bitcoin,47272.2013,129021872268.11,16038990738571.69,-0.77,15394,0.0442
2024-10-14,Bitcoin,47104.217,224897373423.73,18571555701261.52,-0.02,28197,0.0385
2024-10-15,Bitcoin,47982.6879,128541267277.76,23959627606945.33,0.03,23010,0.0357
2024-10-16,Bitcoin,48435.1529,172143560631.36,22921710055102.02,-0.43,25123,0.0182
2024-10-17,Bitcoin,47578.7717,123246984031.7,16986862338591.33,-0.43,23387,0.0383
2024-10-18,Bitcoin,47329.2844,99242921657.9,12707876014967.38,0.01,3890,0.0139
2024-10-19,Bitcoin,46676.6123,230391584897.52,16545502902179.58,0.07,28769,0.0803
2024-10-20,Bitcoin,45898.0024,121048455152.31,19013736170723.96,-0.06,44626,0.0458
